coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.8903333333333333,1.6539111891143874,0.8843333333333333,1.7904778575704987,0.8783333333333333,1.7605783506412318,1.0825719478500162,1.0644938871137095,0.6960341517357637,9.7603699502975,1.1027581134347504,1,10,1.0,0.0,0.5,1.0,False,True,120,-20877.26199202502
0.8906666666666667,1.6552971515638513,0.902,1.8225537729425711,0.899,1.814507805328698,1.1010432605533715,1.0961825214369707,0.7384853355265817,9.801744690091088,1.1163705662784884,1,10,1.0,0.0,0.5,1.0,True,True,71,-30880.765111504497
0.8836666666666667,3.2665984573903835,0.8893333333333333,3.385939965619936,0.8883333333333333,3.354095333021145,1.0365338776057869,1.0267853171340382,0.6982503232457401,10.524748353171256,0.960472734777692,1,10,1.0,0.0,1.0,1.0,False,True,135,-20884.69181730366
0.9063333333333333,3.3832545972018515,0.906,3.4414889371591553,0.9063333333333333,3.4386339473401444,1.0172125207501284,1.0163686617566692,0.7321130169953439,10.128197106364674,1.0490211270768133,1,10,1.0,0.0,1.0,1.0,True,True,121,-31012.39839030327
0.9153333333333333,5.1268889092989465,0.921,5.2601299643376045,0.9183333333333333,5.2499049987194475,1.0259886760559587,1.0239942958774433,0.6926870089683013,9.958560405693092,1.1444007340381184,1,10,1.0,0.0,1.5,1.0,False,True,90,-20828.22101452153
0.9036666666666666,5.067816067446884,0.9063333333333333,5.136622486737347,0.903,5.06533340126001,1.0135771342871815,0.9995101112286174,0.7409348944768829,10.164541593501836,1.0031591886333429,1,10,1.0,0.0,1.5,1.0,True,True,75,-30918.40991375701
0.9083333333333333,1.7140662104901927,0.9016666666666666,2.5397317927706298,0.894,2.6733813970271543,1.481699935059283,1.5596721880787874,0.726679211466873,8.96069239167787,3.591221171175204,1,10,3.0,0.0,0.5,1.0,False,True,82,-22793.48922317858
0.9093333333333333,1.6626976951811063,0.908,2.324709623148682,0.912,2.4037200636685774,1.3981553170406404,1.4456747433012809,0.7570045286830059,11.498171094477918,3.917961956939826,1,10,3.0,0.0,0.5,1.0,True,True,82,-32884.858375300275
0.9063333333333333,3.336581940586032,0.9123333333333333,3.8782137124167186,0.9133333333333333,4.061315298179262,1.1623313263319872,1.2172083199209365,0.7295317691220395,10.470611324534792,3.595153171791084,1,10,3.0,0.0,1.0,1.0,False,True,71,-22898.74302161469
0.9023333333333333,3.2887314766657,0.894,3.4895793617727633,0.8996666666666666,3.541877636158899,1.0610715367101646,1.076973800168645,0.745922691141006,10.934401257221138,3.875506643668165,1,10,3.0,0.0,1.0,1.0,True,True,71,-32902.04872886716
0.881,4.898587848368028,0.886,5.239446121236751,0.892,5.351529812661713,1.0695829662383785,1.0924637830971191,0.717724633483389,10.43945936666859,3.436804997338181,1,10,3.0,0.0,1.5,1.0,False,True,81,-22946.636461872215
0.8976666666666666,4.931422828375831,0.907,5.279676649724245,0.9066666666666666,5.360180907348238,1.0706193391782453,1.086944091775156,0.7716965461256245,10.946299085953353,3.9366927563275977,1,10,3.0,0.0,1.5,1.0,True,True,73,-32960.95321029554
0.8893333333333333,1.6341419621643345,0.8946666666666667,2.8781595193088965,0.8963333333333333,4.272835740933335,1.7612665153625493,2.6147273859084987,0.9413214123536033,14.883672975600124,2.267883988831649,1,10,5.0,0.0,0.5,1.0,False,True,29,-24041.201543235486
0.896,1.652364753714928,0.902,1.9008083583854958,0.9006666666666666,3.5640581433239538,1.1503563932309768,2.1569439406832314,0.9206241177921995,13.124106882333015,2.506071965237736,1,10,5.0,0.0,0.5,1.0,True,True,34,-34558.50246023668
0.9086666666666666,3.3485381718395835,0.909,3.4770296071369384,0.907,4.9408552467869855,1.0383723967604543,1.4755260335206608,0.9570166184498893,13.670882542676035,1.099226550747832,1,10,5.0,0.0,1.0,1.0,False,True,13,-24103.257416242515
0.9113333333333333,3.3528675369469125,0.9063333333333333,3.460156692159144,0.8993333333333333,4.7798807174529525,1.0319992227637862,1.425609769780963,0.9492252742777971,13.671605144754096,1.4428714933039173,1,10,5.0,0.0,1.0,1.0,True,True,15,-34406.10284321278
0.9023333333333333,4.940256192237955,0.8943333333333333,4.948925837509239,0.8823333333333333,5.756017608008646,1.0017548979109434,1.1651253263044135,0.9521756267943757,8.494793891654037,1.0408662066495158,1,10,5.0,0.0,1.5,1.0,False,True,7,-24212.02037425024
0.8983333333333333,4.860639354752204,0.8963333333333333,4.976790604636322,0.8896666666666667,6.064736760737274,1.0238962904685691,1.247724078686857,0.9526943817786169,14.975799696955772,1.3653935602147143,1,10,5.0,0.0,1.5,1.0,True,True,9,-34447.78053849636
0.9106666666666666,1.6715116898572457,0.8943333333333333,2.1193864283009822,0.904,7.212486867884588,1.2679459205469195,4.314948505385903,0.9840533901515038,27.581390322131213,5.430391341486221,1,10,10.0,0.0,0.5,1.0,False,True,9,-24650.957069208373
0.906,1.6976178018585126,0.9096666666666666,2.201872787300645,0.9046666666666666,7.700964249126556,1.2970368152890985,4.536335705655135,0.9895628558348422,24.8492870926676,5.112542566243672,1,10,10.0,0.0,0.5,1.0,True,True,11,-35129.523951147545
0.8926666666666667,3.2163707398491828,0.8926666666666667,3.216187167359886,0.899,7.319321067814549,0.9999429255816121,2.2756459562114273,0.9999996225243388,21.93283392898751,0.07264854827340476,1,10,10.0,0.0,1.0,1.0,False,True,3,-24501.76208004943
0.9023333333333333,3.260558476961412,0.9023333333333333,3.2605584612664806,0.8893333333333333,7.8580991580325295,0.9999999951864285,2.4100469945736624,0.9999982447096564,22.200882112537055,0.07864986753280825,1,10,10.0,0.0,1.0,1.0,True,True,3,-34668.43492746737
0.898,4.991986393059634,0.898,4.991986398551348,0.901,8.255075982416738,1.000000001100106,1.6536655616477203,0.9999999905340455,25.12078024683525,0.0689192522017813,1,10,10.0,0.0,1.5,1.0,False,True,3,-24472.183983426406
0.9056666666666666,5.081350579721783,0.9056666666666666,5.0813505780754795,0.8933333333333333,8.858545902464616,0.9999999996760106,1.7433447591308775,0.9999966736255992,24.801860203725873,0.06775873139411505,1,10,10.0,0.0,1.5,1.0,True,True,3,-34525.73571701695
0.9083333333333333,1.6690892195929634,0.9033333333333333,2.2477116070520236,0.9076666666666666,15.678703610498319,1.3466695372942181,9.39356831645096,0.9877290271779342,27.631021115928547,19.893183815264045,1,10,20.0,0.0,0.5,1.0,False,True,19,-24945.533994953323
0.8983333333333333,1.623205305852733,0.8983333333333333,1.6232053058527351,0.8996666666666666,9.775134357676773,1.0000000000000013,6.022118288075404,1.0,21.874558383443432,0.06356739042310312,1,10,20.0,0.0,0.5,1.0,True,True,3,-34689.10565930337
0.8906666666666667,3.2858923963407403,0.8926666666666667,3.830264009575142,0.9063333333333333,14.268745539109007,1.1656693365372004,4.342426293386562,0.9851145033320172,24.91397070619557,20.134769917834603,1,10,20.0,0.0,1.0,1.0,False,True,10,-24788.555002245786
0.9013333333333333,3.350788511031447,0.903,3.7312103995326567,0.9113333333333333,12.894338029558345,1.1135320499186345,3.8481503643419086,0.9932898973600535,24.91397070619557,19.484079329435975,1,10,20.0,0.0,1.0,1.0,True,True,12,-35453.01177987809
0.8866666666666667,4.766992359192567,0.8886666666666667,5.037256347950042,0.8986666666666666,14.12204966676525,1.056694865104263,2.9624653455826477,0.9871044901583815,25.079756832891142,21.18934305550561,1,10,20.0,0.0,1.5,1.0,False,True,8,-24818.046410246177
0.899,4.949040993629449,0.899,4.949040993629431,0.8946666666666667,15.087408947504994,0.9999999999999964,3.0485520259229917,1.0,22.160078934974695,0.06820062717716065,1,10,20.0,0.0,1.5,1.0,True,True,3,-34592.639929359284
0.918,1.7191840672554548,0.8996666666666666,17.19781268933622,0.906,19.228535755907117,10.00347375065615,11.18468703970948,0.985578289806895,25.139245832466873,45.97338461546404,1,10,30.0,0.0,0.5,1.0,False,True,16,-25115.70006593421
0.9023333333333333,1.672633314595342,0.896,1.6700470558460552,0.911,26.8453686548338,0.9984537801999283,16.049763221013247,0.9891780424881655,25.049035245357707,46.41532581387811,1,10,30.0,0.0,0.5,1.0,True,True,24,-35212.90975066451
0.911,3.386751449903329,0.911,3.3867514499033877,0.9023333333333333,19.14220360043642,1.0000000000000173,5.65208397592413,1.0,27.631021115928547,0.055289371797430195,1,10,30.0,0.0,1.0,1.0,False,True,3,-24356.504525864628
