coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,coverage_pcp,length_pcp,len_ratio_pcp,pcp_frac_inf,pcp_precision,pcp_clusters,pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.8836666666666667,3.2665984573903835,0.8893333333333333,3.385939965619936,0.8883333333333333,3.354095333021145,1.0365338776057869,1.0267853171340382,0.8836666666666667,3.381610305289868,1.035208443706719,0.0,20.0,1.0,0.0,0.6982503232457401,10.524748353171256,0.960472734777692,1,10,1.0,0.0,1.0,1.0,False,True,135,-20884.69181730366
0.9063333333333333,3.3832545972018515,0.906,3.4414889371591553,0.9063333333333333,3.4386339473401444,1.0172125207501284,1.0163686617566692,0.9083333333333333,3.4678967502131153,1.0250179673386886,0.0,20.0,1.0,0.0,0.7321130169953439,10.128197106364674,1.0490211270768133,1,10,1.0,0.0,1.0,1.0,True,True,121,-31012.39839030327
0.8863333333333333,6.310027312488865,0.8913333333333333,6.331992048837157,0.8886666666666667,6.274246787865813,1.0034809257172024,0.9943295769017934,0.8893333333333333,6.332946017028469,1.0036321086113595,0.0,20.0,1.0,0.0,0.6846135921574551,10.295138027085066,1.0205356332529119,1,10,1.0,0.0,2.0,1.0,False,True,135,-20939.96871541336
0.9036666666666666,6.552048985707263,0.8933333333333333,6.420316364559325,0.8973333333333333,6.47345275537685,0.9798944389098279,0.9880043280351134,0.895,6.45745341042771,0.9855624438269761,0.0,20.0,1.0,-2.220446049250313e-16,0.7301226165448029,9.461592473393058,0.9896544393872336,1,10,1.0,0.0,2.0,1.0,True,True,62,-30887.35556956227
0.9136666666666666,10.051464720595733,0.902,9.88027210439179,0.904,9.90552757650286,0.9829683910790469,0.9854810071815858,0.9033333333333333,10.035088137899454,0.9983707267396836,0.0,20.0,1.0,0.0,0.7023584655988184,9.966662226777286,1.1205945852627737,1,10,1.0,0.0,3.0,1.0,False,True,131,-21046.17292760768
0.903,9.82478250111518,0.901,9.848599004068758,0.8996666666666666,9.798505860805362,1.0024241252110033,0.9973254735861241,0.8933333333333333,9.726929781685813,0.9900402151988341,0.0,20.0,1.0,-2.220446049250313e-16,0.7482508689176424,10.59319534734708,0.9318911140217035,1,10,1.0,0.0,3.0,1.0,True,True,127,-30873.320758721962
0.9063333333333333,3.336581940586032,0.9123333333333333,3.8782137124167186,0.9133333333333333,4.061315298179262,1.1623313263319872,1.2172083199209365,0.912,3.8917308123903305,1.1663825081145147,0.0,20.0,1.0,1.1102230246251565e-16,0.7295317691220395,10.470611324534792,3.595153171791084,1,10,3.0,0.0,1.0,1.0,False,True,71,-22898.74302161469
0.9023333333333333,3.2887314766657,0.894,3.4895793617727633,0.8996666666666666,3.541877636158899,1.0610715367101646,1.076973800168645,0.902,3.4814697926329226,1.0586056713157475,0.0,20.0,1.0,0.0,0.745922691141006,10.934401257221138,3.875506643668165,1,10,3.0,0.0,1.0,1.0,True,True,71,-32902.04872886716
0.904,6.597196677301353,0.8966666666666666,6.705740209112913,0.9,6.874085827752142,1.016452978002766,1.0419707284767585,0.9,6.748244441839651,1.022895749805065,0.0,20.0,1.0,-2.220446049250313e-16,0.7517289141235418,9.599254197717977,3.465306648262054,1,10,3.0,0.0,2.0,1.0,False,True,98,-22928.78554827154
0.8906666666666667,6.607148895612691,0.8986666666666666,6.964352062273361,0.899,7.08493840864469,1.0540631325711247,1.0723140223689014,0.9,7.009676284952671,1.0609230086531376,0.0,20.0,1.0,0.0,0.7594616353034589,8.269406652802992,3.815876549536284,1,10,3.0,0.0,2.0,1.0,True,True,91,-32881.16759357888
0.9,9.865088028617487,0.8953333333333333,9.990790630872755,0.8966666666666666,10.081556315584798,1.0127421673167658,1.021942864203478,0.9016666666666666,10.07507448560311,1.0212858168499335,0.0,20.0,1.0,0.0,0.7337086849640345,9.742332575014323,3.5374327135665142,1,10,3.0,0.0,3.0,1.0,False,True,135,-22898.405818208572
0.8756666666666667,9.50194744998982,0.874,9.681258208755496,0.8726666666666667,9.749820279340327,1.0188709482671225,1.0260865291725825,0.873,9.622834794174342,1.0127223755783505,0.0,20.0,1.0,0.0,0.758864612680524,10.484289097258793,3.887268219973377,1,10,3.0,0.0,3.0,1.0,True,True,88,-33009.569073154584
0.9086666666666666,3.3485381718395835,0.909,3.4770296071369384,0.907,4.9408552467869855,1.0383723967604543,1.4755260335206608,0.9043333333333333,4.096091078635152,1.223247539204514,0.0,20.0,1.0,1.1102230246251565e-16,0.9570166184498893,13.670882542676035,1.099226550747832,1,10,5.0,0.0,1.0,1.0,False,True,13,-24103.257416242515
0.9113333333333333,3.3528675369469125,0.9063333333333333,3.460156692159144,0.8993333333333333,4.7798807174529525,1.0319992227637862,1.425609769780963,0.904,4.03498318152194,1.203442467397968,0.0,20.0,1.0,0.0,0.9492252742777971,13.671605144754096,1.4428714933039173,1,10,5.0,0.0,1.0,1.0,True,True,15,-34406.10284321278
0.8986666666666666,6.575246029854266,0.8956666666666667,6.609996395081646,0.8986666666666666,7.648357317911614,1.005285028890113,1.1632047353338553,0.8963333333333333,7.059786260831629,1.07369157424336,0.0,20.0,1.0,0.0,0.9531765058846713,14.80663055280972,1.062353126115828,1,10,5.0,0.0,2.0,1.0,False,True,8,-24139.985740675376
