coverage_cqr_ignore,length_cqr_ignore,coverage_pcp_base,length_pcp_base,pcp_base_frac_inf,pcp_base_precision,pcp_base_clusters,pcp_base_cluster_r2,coverage_em_pcp,length_em_pcp,em_pcp_frac_inf,em_pcp_precision,em_pcp_clusters,em_pcp_cluster_r2,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,use_x_in_em,em_converged,em_iter,em_loglik
0.8986666666666666,4.003120301136463,0.899,3.99534145208019,0.0,20.0,1.0,0.0,0.8953333333333333,3.945805655942729,0.0,1.0,4.0,,0.7551393155498303,3.406427309045687,0.7509822639984712,1,4,0.01,False,True,23,-5704.004644666695
0.914,4.232837597603764,0.9093333333333333,4.104567085606335,0.0,20.0,1.0,0.0,0.9063333333333333,4.06916830280229,0.0,1.0,4.0,,0.7565012664628372,3.175050778997542,0.7106074773014734,1,4,0.2,False,True,53,-5761.165532460747
0.893,4.096273011643397,0.893,3.9739502491687526,0.0,20.0,1.0,0.0,0.8906666666666667,3.9228460970543324,0.0,1.0,4.0,,0.7562843579121257,3.214643859717279,0.7568614358388718,1,4,0.3,False,True,27,-5797.3436996368355
0.895,4.001524761364709,0.901,4.009235406854612,0.0,20.0,1.0,-2.220446049250313e-16,0.8996666666666666,3.984896967710351,0.0,1.0,4.0,,0.7553734650563008,1.4401723988380408,0.7039505135088173,1,4,0.5,False,True,20,-5666.656327385544
0.901,4.204391378177589,0.8956666666666667,4.251520751730361,0.0,20.0,1.0,0.0,0.895,4.196676945122917,0.0,1.0,4.0,,0.7591700550914102,1.4296633549058604,0.7448414220544637,1,4,0.8,False,True,60,-5701.478560270227
0.905,4.7825700879734105,0.898,4.644701491290635,0.0,20.0,1.0,-2.220446049250313e-16,0.904,4.635615114341552,0.0,1.0,4.0,,0.7565239844452726,0.529387332774449,0.708698636068683,1,4,1.5,False,True,27,-5801.876858260857
0.8873333333333333,3.8780097277535606,0.8923333333333333,3.9348282863371753,0.0,20.0,1.0,0.0,0.887,3.861728835093478,0.0,1.0,4.0,,0.766594937856064,5.4444495850446115,0.7128596366446633,2,4,0.01,False,True,21,-5780.472927714303
0.9013333333333333,4.180178272298955,0.8956666666666667,4.065731538201652,0.0,20.0,1.0,0.0,0.8913333333333333,4.044549449493615,0.0,1.0,4.0,,0.7563880897308282,3.427499736755922,0.7264916472017082,2,4,0.2,False,True,20,-5735.130944381066
0.8956666666666667,3.9522136324647836,0.8956666666666667,3.903773110595596,0.0,20.0,1.0,0.0,0.8963333333333333,3.9034154942798573,0.0,1.0,4.0,,0.7602935560869152,10.801477263083873,0.720893241062814,2,4,0.3,False,True,18,-6033.921054466415
0.8863333333333333,3.952844663178769,0.8946666666666667,3.991734555238208,0.0,20.0,1.0,-2.220446049250313e-16,0.886,3.927369538249448,0.0,1.0,4.0,,0.7587235808751952,4.5461239788570875,0.713091414882894,2,4,0.5,False,True,38,-5953.088439401656
0.8903333333333333,4.23282346950383,0.8896666666666667,4.227181111016606,0.0,20.0,1.0,-2.220446049250313e-16,0.892,4.1519001717186255,0.0,1.0,4.0,,0.7553902021859088,1.2994480790587226,0.7197553960916084,2,4,0.8,False,True,36,-5788.27031780749
0.905,4.862639388763324,0.9,4.756100137259999,0.0,20.0,1.0,0.0,0.9026666666666666,4.692797634708583,0.0,1.0,4.0,,0.7555837069233322,0.5712385602532231,0.7703385837079377,2,4,1.5,False,True,34,-5887.965332875672
0.9043333333333333,4.149614321163024,0.8963333333333333,3.9696634906230623,0.0,20.0,1.0,0.0,0.902,3.9792545133947277,0.0,1.0,4.0,,0.757268403055381,4.423590129379609,0.7279207451673204,3,4,0.01,False,True,31,-5788.895180486438
0.9013333333333333,4.069445789820637,0.8843333333333333,3.8636246001706955,0.0,20.0,1.0,0.0,0.8836666666666667,3.8325910934820895,0.0,1.0,4.0,,0.7611712118543082,7.2823100040093065,0.7338942270881261,3,4,0.2,False,True,13,-5874.207355128527
0.8943333333333333,3.9964697918224847,0.8923333333333333,3.904515293922115,0.0,20.0,1.0,0.0,0.8926666666666667,3.904822277743501,0.0,1.0,4.0,,0.7562288762227681,4.503087227034649,0.7298776450291861,3,4,0.3,False,True,31,-5754.946661771765
0.8953333333333333,4.169804027213945,0.8956666666666667,4.0370916741360565,0.0,20.0,1.0,0.0,0.897,4.039747118406478,0.0,1.0,4.0,,0.7549185461851533,1.4220648927410062,0.7258104454909552,3,4,0.5,False,True,40,-5780.157541287259
0.896,4.124145997720033,0.8896666666666667,4.045803509689178,0.0,20.0,1.0,0.0,0.8843333333333333,4.014613991572628,0.0,1.0,4.0,,0.7532431869548261,1.3332997913164324,0.7926920384565256,3,4,0.8,False,True,30,-5790.818952600614
0.902,4.720762550180394,0.9,4.719962391654236,0.0,20.0,1.0,-2.220446049250313e-16,0.9073333333333333,4.743050991832001,0.0,1.0,4.0,,0.7629308228054819,0.5486890004496886,0.7418949052147353,3,4,1.5,False,True,41,-5907.649936540485
0.922,4.252525863493643,0.9066666666666666,4.013016968987799,0.0,20.0,1.0,0.0,0.913,4.0696454517731775,0.0,1.0,4.0,,0.7590708452743838,5.964579124822665,0.7284962395338801,4,4,0.01,False,True,12,-5806.451077991114
0.8863333333333333,3.9633764652946617,0.888,3.864621398589341,0.0,20.0,1.0,0.0,0.8896666666666667,3.922037522106793,0.0,1.0,4.0,,0.7560129893448726,1.6637144513948314,0.7385962912863806,4,4,0.2,False,True,26,-5679.242321364405
