coverage_oracle,length_oracle,coverage_soft,length_soft,coverage_ignore,length_ignore,len_ratio_soft,len_ratio_ignore,mean_max_tau,cross_entropy,z_feature_mse,seed,K,delta,rho,sigma_y,b_scale,use_x_in_em,em_converged,em_iter,em_loglik
0.8933333333333333,3.280604040043889,0.8966666666666666,3.306665778877788,0.8916666666666667,3.2678058555117313,1.0079441890931617,0.9960988329051785,0.6728027632145037,10.112676423511283,0.5852355512294672,1,10,0.1,0.0,1.0,1.0,False,True,76,-20486.036864280355
0.8876666666666667,3.2073457216149004,0.8906666666666667,3.227674016225904,0.889,3.218185859887107,1.0063380428477067,1.0033797847856416,0.7339122126608727,9.636082767511121,0.5402022981533136,1,10,0.1,0.0,1.0,1.0,True,True,120,-30689.16769505525
0.9083333333333333,6.884765601089629,0.9063333333333333,6.855548091089978,0.9033333333333333,6.832705953097274,0.9957562084619079,0.9924384284071899,0.733901483432096,11.564949745228034,0.6647118857411854,1,10,0.1,0.0,2.0,1.0,False,True,135,-20643.722117257887
0.901,6.562701972185429,0.898,6.515609906818516,0.902,6.5215535476688995,0.992824287074668,0.99372995685452,0.7275023649723209,9.808331666889588,0.5352656714530694,1,10,0.1,0.0,2.0,1.0,True,True,85,-30715.053069564245
0.897,10.015884229284895,0.8966666666666666,9.959406407067995,0.8966666666666666,9.96912813370921,0.9943611746178368,0.9953318055095948,0.6852862879490764,10.471128078519888,0.6533594602211014,1,10,0.1,0.0,3.0,1.0,False,True,129,-20486.7590148735
0.896,9.950372552430144,0.896,9.931290050037411,0.8966666666666666,9.926615355054308,0.9980822323694732,0.9976124313687095,0.7338776120587208,10.082151922900795,0.6106711273360801,1,10,0.1,0.0,3.0,1.0,True,True,100,-30634.5936169802
0.8836666666666667,3.2665984573903835,0.8893333333333333,3.385939965619936,0.8883333333333333,3.354095333021145,1.0365338776057869,1.0267853171340382,0.6982503232457401,10.524748353171256,0.960472734777692,1,10,1.0,0.0,1.0,1.0,False,True,135,-20884.69181730366
0.9063333333333333,3.3832545972018515,0.906,3.4414889371591553,0.9063333333333333,3.4386339473401444,1.0172125207501284,1.0163686617566692,0.7321130169953439,10.128197106364674,1.0490211270768133,1,10,1.0,0.0,1.0,1.0,True,True,121,-31012.39839030327
0.8863333333333333,6.310027312488865,0.8913333333333333,6.331992048837157,0.8886666666666667,6.274246787865813,1.0034809257172024,0.9943295769017934,0.6846135921574551,10.295138027085066,1.0205356332529119,1,10,1.0,0.0,2.0,1.0,False,True,135,-20939.96871541336
0.9036666666666666,6.552048985707263,0.8933333333333333,6.420316364559325,0.8973333333333333,6.47345275537685,0.9798944389098279,0.9880043280351134,0.7301226165448029,9.461592473393058,0.9896544393872336,1,10,1.0,0.0,2.0,1.0,True,True,62,-30887.35556956227
0.9136666666666666,10.051464720595733,0.902,9.88027210439179,0.904,9.90552757650286,0.9829683910790469,0.9854810071815858,0.7023584655988184,9.966662226777286,1.1205945852627737,1,10,1.0,0.0,3.0,1.0,False,True,131,-21046.17292760768
0.903,9.82478250111518,0.901,9.848599004068758,0.8996666666666666,9.798505860805362,1.0024241252110033,0.9973254735861241,0.7482508689176424,10.59319534734708,0.9318911140217035,1,10,1.0,0.0,3.0,1.0,True,True,127,-30873.320758721962
0.8986666666666666,3.284540852814663,0.8933333333333333,3.586947371667286,0.8966666666666666,3.599867770487863,1.0920696476018796,1.0960033477443225,0.7042452023276917,10.817532708645047,2.123102222640957,1,10,2.0,0.0,1.0,1.0,False,True,174,-21682.149673630236
0.9156666666666666,3.390580285450086,0.916,3.7306522667543875,0.9143333333333333,3.6905769983324777,1.100299049918872,1.088479460041032,0.7542059848112628,11.023371098451719,2.236930618367136,1,10,2.0,0.0,1.0,1.0,True,True,137,-31710.9155353577
